Combined_Rank,Zone,lat,lon,depth_m,solar_ghi_raw,H2_hub_score,Tier,Nearest_Reference,H2_Production_kg_day,Markers
1,B — Near-India Regional,7.0,72.0,-4998.251051701419,5.5,60.00000000000001,1,Minicoy,19543.147208121827,[DEEP] [T1] [H2+]
2,B — Near-India Regional,7.0,80.0,-3291.338636835713,5.5,60.00000000000001,1,Colombo,19543.147208121827,[DEEP] [T1] [H2+]
3,A — Indian Coast,7.0,73.0,-3820.819760197539,5.5,55.17112240266703,1,Minicoy,19543.147208121827,[IN-EEZ] [DEEP] [T1] [H2+]
4,B — Near-India Regional,7.0,71.0,-3657.376574762349,5.5,55.17112240266703,1,Minicoy,19543.147208121827,[DEEP] [T1] [H2+]
5,B — Near-India Regional,7.0,79.0,-4035.841266132255,5.5,55.17112240266703,1,Colombo,19543.147208121827,[DEEP] [T1] [H2+]
6,A — Indian Coast,8.0,72.0,-3460.2238894696184,5.5,55.13966331004268,1,Minicoy,19543.147208121827,[IN-EEZ] [DEEP] [T1] [H2+]
7,B — Near-India Regional,6.0,72.0,-3568.0892534959853,5.5,55.13966331004268,1,Male,19543.147208121827,[DEEP] [T1] [H2+]
8,A — Indian Coast,8.0,73.0,-4816.277173978605,5.5,53.51285057980576,1,Minicoy,19543.147208121827,[IN-EEZ] [DEEP] [T1] [H2+]
9,B — Near-India Regional,8.0,71.0,-4736.8433489197605,5.5,53.51285057980576,1,Minicoy,19543.147208121827,[DEEP] [T1] [H2+]
10,B — Near-India Regional,6.0,73.0,-4679.18585298669,5.5,53.50721180570997,1,Male,19543.147208121827,[DEEP] [T1] [H2+]
11,B — Near-India Regional,6.0,79.0,-3068.6428839409,5.5,53.50721180570997,1,Galle,19543.147208121827,[DEEP] [T1] [H2+]
12,B — Near-India Regional,6.0,94.0,-4676.918764554836,5.5,52.61538461538462,3,Great Nicobar — Galathea Bay,19543.147208121827,[DEEP] [H2+]
13,A — Indian Coast,7.0,78.0,-4825.280562550636,5.5,51.50660046270449,1,Cape Comorin/Kanyakumari,19543.147208121827,[IN-EEZ] [DEEP] [T1] [H2+]
14,B — Near-India Regional,7.0,74.0,-4110.2486584080525,5.5,51.50660046270449,1,Minicoy,19543.147208121827,[DEEP] [T1] [H2+]
15,A — Indian Coast,8.0,74.0,-3901.412767797369,5.5,50.775264877921344,1,Minicoy,19543.147208121827,[IN-EEZ] [DEEP] [T1] [H2+]
16,B — Near-India Regional,6.0,74.0,-3929.972284002711,5.5,50.763861071916885,1,Male,19543.147208121827,[DEEP] [T1] [H2+]
17,B — Near-India Regional,6.0,78.0,-3707.252141507749,5.5,50.763861071916885,1,Colombo,19543.147208121827,[DEEP] [T1] [H2+]
18,B — Near-India Regional,7.0,75.0,-3951.635024816928,5.5,48.72568258483725,1,Eight Degree Channel,19543.147208121827,[DEEP] [T1] [H2+]
19,A — Indian Coast,7.0,77.0,-3410.0665532338994,5.5,48.72568258483725,1,Eight Degree Channel,19543.147208121827,[IN-EEZ] [DEEP] [T1] [H2+]
20,A — Indian Coast,8.0,77.0,-3765.658163966962,5.5,48.34431478509237,1,Eight Degree Channel,19543.147208121827,[IN-EEZ] [DEEP] [T1] [H2+]
21,B — Near-India Regional,8.0,75.0,-4897.013783126267,5.5,48.34431478509237,1,Nine Degree Channel,19543.147208121827,[DEEP] [T1] [H2+]
22,B — Near-India Regional,6.0,77.0,-3217.378413650485,5.5,48.3302465721677,1,Eight Degree Channel,19543.147208121827,[DEEP] [T1] [H2+]
23,A — Indian Coast,6.0,93.0,-4558.368364240194,5.5,47.77816200965925,3,Great Nicobar — Galathea Bay,19543.147208121827,[IN-EEZ] [DEEP] [H2+]
24,B — Near-India Regional,6.0,95.0,-3738.602981815068,5.5,47.77816200965925,3,Strait of Malacca North,19543.147208121827,[DEEP] [H2+]
25,B — Near-India Regional,7.0,94.0,-4186.081153632903,5.5,47.75504792542729,3,Campbell Bay,19543.147208121827,[DEEP] [H2+]
26,B — Near-India Regional,5.0,94.0,-3381.3404190882056,5.5,47.75504792542729,3,Strait of Malacca North,19543.147208121827,[DEEP] [H2+]
27,B — Near-India Regional,10.0,70.0,-3203.9167016216816,5.5,47.3489634166048,1,Agatti,19543.147208121827,[DEEP] [T1] [H2+]
28,B — Near-India Regional,7.0,76.0,-4090.827573981198,5.5,46.61531141267158,1,Eight Degree Channel,19543.147208121827,[DEEP] [T1] [H2+]
29,A — Indian Coast,8.0,76.0,-4366.920602165224,5.5,46.397975983025965,1,Eight Degree Channel,19543.147208121827,[IN-EEZ] [DEEP] [T1] [H2+]
30,A — Indian Coast,7.0,93.0,-4519.37037090243,5.5,46.12259642109458,3,Great Nicobar — Galathea Bay,19543.147208121827,[IN-EEZ] [DEEP] [H2+]
31,A — Indian Coast,8.0,93.0,-3974.078207235152,5.5,43.354769154504986,3,Car Nicobar,19543.147208121827,[IN-EEZ] [DEEP] [H2+]
32,A — Indian Coast,9.0,93.0,-3927.857808383332,5.5,40.90947400819242,3,Car Nicobar,19543.147208121827,[IN-EEZ] [DEEP] [H2+]
33,A — Indian Coast,11.0,93.0,-4491.626052044356,5.5,40.213972544070806,4,Port Blair,19543.147208121827,[IN-EEZ] [DEEP] [H2+]
34,A — Indian Coast,9.0,92.0,-3884.678407783599,5.5,39.95885929448506,3,Car Nicobar,19543.147208121827,[IN-EEZ] [DEEP] [H2+]
35,A — Indian Coast,11.0,92.0,-3442.50716566659,5.5,39.85035248947332,4,Port Blair,19543.147208121827,[IN-EEZ] [DEEP] [H2+]
36,A — Indian Coast,20.0,85.0,-3904.989035900171,5.5,39.53588723824403,4,Paradip,19543.147208121827,[IN-EEZ] [DEEP] [H2+]
37,A — Indian Coast,8.0,79.0,-15.0,5.5,39.51285057980576,1,Tuticorin/Thoothukudi,19543.147208121827,[IN-EEZ] [T1] [H2+]
38,A — Indian Coast,19.0,85.0,-3288.4146146469325,5.5,39.41532147873409,4,Paradip,19543.147208121827,[IN-EEZ] [DEEP] [H2+]
39,A — Indian Coast,18.0,85.0,-4381.850493873119,5.5,39.12035864806352,4,Visakhapatnam,19543.147208121827,[IN-EEZ] [DEEP] [H2+]
40,A — Indian Coast,12.0,93.0,-4994.086088443679,5.5,39.05199018268952,4,Port Blair,19543.147208121827,[IN-EEZ] [DEEP] [H2+]
