lat,lon,solar_ghi_raw,depth_m,distance_to_corridor_km,corr_score_raw,wind_ws100m,safety_index,valid_ocean_point,solar_norm,depth_score_raw,depth_norm,corridor_norm,wind_norm,safety_norm,H2_hub_score,Tier,Zone,Within_Zone_Rank,H2_Production_kg_day,Nearest_Reference,Dist_to_Ref_km
7.0,73.0,5.5,-3820.819760197539,110.3660757174536,0.7588772889509922,7.276875569425521,0.875,True,0.0,1.0,1.0,0.7585561201333513,0.0,1.0,55.17112240266703,1,A — Indian Coast,1,19543.147208121827,Minicoy,142.43613095019552
8.0,72.0,5.5,-3460.2238894696184,111.19492664455872,0.7573064266651235,7.276875569425521,0.875,True,0.0,1.0,1.0,0.7569831655021334,0.0,1.0,55.13966331004268,1,A — Indian Coast,2,19543.147208121827,Minicoy,119.69831733933269
8.0,73.0,5.5,-4816.277173978605,156.58110278754708,0.6760739895247802,7.276875569425521,0.875,True,0.0,1.0,1.0,0.6756425289902878,0.0,1.0,53.51285057980576,1,A — Indian Coast,3,19543.147208121827,Minicoy,31.61729023558705
7.0,78.0,5.5,-4825.280562550636,220.73202658609523,0.5758949194350709,7.276875569425521,0.875,True,0.0,1.0,1.0,0.5753300231352244,0.0,1.0,51.50660046270449,1,A — Indian Coast,4,19543.147208121827,Cape Comorin/Kanyakumari,129.9319776338478
8.0,74.0,5.5,-3901.412767797369,246.93636581156187,0.5393767813511984,7.276875569425521,0.875,True,0.0,1.0,1.0,0.538763243896067,0.0,1.0,50.775264877921344,1,A — Indian Coast,5,19543.147208121827,Minicoy,109.1073295008445
7.0,77.0,5.5,-3410.0665532338994,331.0977276823014,0.4370339844868859,7.276875569425521,0.875,True,0.0,1.0,1.0,0.4362841292418625,0.0,1.0,48.72568258483725,1,A — Indian Coast,6,19543.147208121827,Eight Degree Channel,111.19492664455873
8.0,77.0,5.5,-3765.658163966962,348.918190078118,0.4179909592853218,7.276875569425521,0.875,True,0.0,1.0,1.0,0.4172157392546185,0.0,1.0,48.34431478509237,1,A — Indian Coast,7,19543.147208121827,Eight Degree Channel,0.0
6.0,93.0,5.5,-4558.368364240194,110.58577386542665,0.7584605935581717,7.276875569425521,0.595,True,0.0,1.0,1.0,0.7581388697137312,0.0,0.3846153846153845,47.77816200965925,3,A — Indian Coast,8,19543.147208121827,Great Nicobar — Galathea Bay,125.60999829774369
8.0,76.0,5.5,-4366.920602165224,454.770634232157,0.3208034702437002,7.276875569425521,0.875,True,0.0,1.0,1.0,0.3198987991512981,0.0,1.0,46.397975983025965,1,A — Indian Coast,9,19543.147208121827,Eight Degree Channel,110.11275819113712
7.0,93.0,5.5,-4519.37037090243,156.7477249748259,0.6757924258550524,7.276875569425521,0.595,True,0.0,1.0,1.0,0.6753605902854979,0.0,0.3846153846153845,46.12259642109458,3,A — Indian Coast,10,19543.147208121827,Great Nicobar — Galathea Bay,97.86707347878146
8.0,93.0,5.5,-3974.078207235152,248.26724456355257,0.5375851508137365,7.276875569425521,0.595,True,0.0,1.0,1.0,0.5369692269560183,0.0,0.3846153846153845,43.354769154504986,3,A — Indian Coast,11,19543.147208121827,Car Nicobar,129.3966215665503
9.0,93.0,5.5,-3927.857808383332,351.3254029941358,0.4154830301636881,7.276875569425521,0.595,True,0.0,1.0,1.0,0.4147044696403899,0.0,0.3846153846153845,40.90947400819242,3,A — Indian Coast,12,19543.147208121827,Car Nicobar,25.861830884478554
11.0,93.0,5.5,-4491.626052044356,566.7396017039342,0.2424768579579107,7.276875569425521,0.7,True,0.0,1.0,1.0,0.241467857972771,0.0,0.6153846153846153,40.213972544070806,4,A — Indian Coast,13,19543.147208121827,Port Blair,79.71115781195067
9.0,92.0,5.5,-3884.678407783599,399.8520672286825,0.3680155198961279,7.276875569425521,0.595,True,0.0,1.0,1.0,0.3671737339550221,0.0,0.3846153846153845,39.95885929448506,3,A — Indian Coast,14,19543.147208121827,Car Nicobar,91.57031742665316
11.0,92.0,5.5,-3442.50716566659,597.8725994221194,0.2243200396105666,7.276875569425521,0.7,True,0.0,1.0,1.0,0.2232868552428967,0.0,0.6153846153846153,39.85035248947332,4,A — Indian Coast,15,19543.147208121827,Port Blair,109.8152906426445
20.0,85.0,5.5,-3904.989035900171,626.9007705130357,0.2086176921439438,7.276875569425521,0.7,True,0.0,1.0,1.0,0.2075635926814323,0.0,0.6153846153846153,39.53588723824403,4,A — Indian Coast,16,19543.147208121827,Paradip,171.78041458880952
8.0,79.0,5.5,-15.0,156.58110278754708,0.6760739895247802,7.276875569425521,0.875,True,0.0,0.5,0.5,0.6756425289902878,0.0,1.0,39.51285057980576,1,A — Indian Coast,17,19543.147208121827,Tuticorin/Thoothukudi,130.65921699911473
19.0,85.0,5.5,-3288.4146146469325,638.6137627546169,0.2025974230013223,7.276875569425521,0.7,True,0.0,1.0,1.0,0.2015353047059352,0.0,0.6153846153846153,39.41532147873409,4,A — Indian Coast,18,19543.147208121827,Paradip,223.52507112141475
18.0,85.0,5.5,-4381.850493873119,668.8043610913936,0.1878688994559625,7.276875569425521,0.7,True,0.0,1.0,1.0,0.1867871631724063,0.0,0.6153846153846153,39.12035864806352,4,A — Indian Coast,19,19543.147208121827,Visakhapatnam,190.6993438029004
12.0,93.0,5.5,-4994.086088443679,676.1398483831988,0.1844550233762824,7.276875569425521,0.7,True,0.0,1.0,1.0,0.1833687399037065,0.0,0.6153846153846153,39.05199018268952,4,A — Indian Coast,20,19543.147208121827,Port Blair,46.33724846218707
